Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_2004, 5.374589662210383e-13, 0.39060950071641487, 0, 0, 0, 0, 1, 0, 0, 0, 1, 7
Column_1997, 5.374589662210383e-13, 0.37657518645064236, 0, 0, 0, 2, 18, 0, 0, 0, 0, 2
Column_3301, 6.054401424648859e-11, 0.32299129284691175, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4
Column_881, 6.188007106722182e-9, 0.2904588706418325, 0, 0, 0, 2, 6, 0, 0, 0, 0, 4
Column_355, 9.912810616796719e-8, 0.2684705536573726, 0, 0, 0, 1, 4, 0, 0, 0, 0, 6
Column_354, 2.770541618346556e-7, 0.2602410081193284, 0, 0, 0, 1, 8, 0, 0, 0, 0, 2
Column_2964, 0.0000011547198245365209, 0.24806201550387919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
Column_3280, 0.0000067426817970117625, 0.23222748815165817, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0
Column_368, 0.000010042817863098463, 0.2283515191594102, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1
Column_3728, 0.00002185561217193932, 0.22104044968588088, 0, 0, 0, 1, 5, 0, 0, 0, 0, 2
Column_2471, 0.0001931868274442916, 0.19951137073367842, 0, 0, 0, 1, 8, 0, 0, 0, 0, 4
Column_1577, 0.0001931868274442916, 0.19905213270142086, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0
Column_1999, 0.0001931868274442916, 0.19905213270142086, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0
Column_1192, 0.00022926023105662718, 0.1976744186046543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
Column_1447, 0.0006709252557797196, 0.1856056431169434, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10
Column_2572, 0.000920997883702368, 0.1810132627943717, 0, 0, 0, 1, 5, 0, 0, 0, 0, 3
Column_1790, 0.0012562140296417112, 0.17743120614277108, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6
Column_1274, 0.0014636048371875487, 0.17631066534406192, 0, 0, 0, 1, 7, 0, 0, 0, 0, 3
Column_3755, 0.0014636048371875487, 0.17627392630148064, 0, 0, 0, 1, 8, 0, 0, 0, 0, 4
Column_4314, 0.0024672457750715138, 0.1695690510305311, 0, 0, 0, 1, 4, 0, 0, 0, 1, 8
Column_2470, 0.003295976410675472, 0.16580329916602687, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7
Column_576, 0.00407839060510129, 0.16279069767442167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Column_92, 0.005770175151050827, 0.15814320878797816, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
Column_1365, 0.006177430634444092, 0.1571145155957242, 0, 1, 2, 3, 8, 0, 0, 2, 3, 8
Column_1721, 0.007071710690401245, 0.15571843197766222, 0, 0, 0, 1, 8, 0, 0, 1, 2, 8
Column_538, 0.008082509399337856, 0.15382637128476329, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1
Column_1136, 0.008082509399337856, 0.15382637128476329, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3
Column_2647, 0.008635679320087908, 0.1529630037841203, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1
Column_592, 0.008635679320087908, 0.15244865718799672, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9
Column_298, 0.00922301842037887, 0.15209963628347734, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1
Column_1792, 0.00984636488848667, 0.15116279069767746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
Column_4320, 0.013573266327194133, 0.14649693228994332, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1
Column_1044, 0.01637739303604946, 0.1438333517028576, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_3299, 0.01637739303604946, 0.14350270031962886, 0, 0, 0, 1, 15, 0, 0, 0, 0, 9
Column_1183, 0.01637739303604946, 0.14341085271318132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
Column_4112, 0.01637739303604946, 0.14341085271318132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2255, 0.01637739303604946, 0.14341085271318132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Column_1202, 0.017421442909155482, 0.14221683382930972, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3
Column_187, 0.017421442909155482, 0.14210661670157165, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6
Column_1264, 0.019689815164885327, 0.14091259781769994, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1
Column_3748, 0.019689815164885327, 0.1408207502112525, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15
Column_4427, 0.0209199095402387, 0.13953488372093326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
Column_3497, 0.02221796261652509, 0.1386715162202904, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6
Column_991, 0.023587120444669263, 0.13780814871964742, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5
Column_482, 0.02655186844090507, 0.1356589147286852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
Column_4669, 0.028154288002759542, 0.13529152430287528, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
Column_2582, 0.029841473010029373, 0.13402402733384677, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1
Column_3281, 0.03348500632827334, 0.13270142180094624, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
Column_845, 0.03348500632827334, 0.13262794371578956, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
Column_940, 0.03544906548412807, 0.13178294573643712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Column_249, 0.04195901150969816, 0.12899077850031382, 0, 0, 1, 1, 3, 0, 0, 0, 1, 3
Column_327, 0.04195901150969816, 0.12882545280869828, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1
Column_2635, 0.04195901150969816, 0.12840295381902211, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1
Column_2948, 0.04434906187152354, 0.1279620853080552, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
Column_3035, 0.04685649343449061, 0.12704360924354619, 0, 0, 0, 0, 2, 0, 0, 0, 0, 27
Column_517, 0.049485876755377856, 0.12616187222161257, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7
Column_1489, 0.049485876755377856, 0.12539035232741702, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3
