Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_589, 5.374589662210383e-13, 0.861111111111109, 0.337745098, 0.418872549, 0.460784314, 0.524509804, 0.643627451, 0, 0, 0.031862745, 0.19754902, 0.73627451
Column_525, 5.374589662210383e-13, 0.8402777777777758, 0.350735294, 0.408333333, 0.457352941, 0.491911765, 0.588235294, 0, 0.000735294, 0.012745098, 0.18872549, 0.790441176
Column_557, 5.374589662210383e-13, 0.8402777777777758, 0.344362745, 0.409068627, 0.460784314, 0.51127451, 0.636029412, 0, 0, 0.016911765, 0.166666667, 0.747058824
Column_493, 5.374589662210383e-13, 0.7986111111111093, 0.316911765, 0.402941176, 0.441176471, 0.495098039, 0.640441176, 0, 0.000490196, 0.011764706, 0.228676471, 0.78872549
Column_461, 5.374589662210383e-13, 0.7986111111111093, 0.332598039, 0.392647059, 0.423039216, 0.504656863, 0.623529412, 0, 0.00122549, 0.011029412, 0.278921569, 0.802941176
Column_429, 5.374589662210383e-13, 0.7847222222222204, 0.297058824, 0.379901961, 0.412254902, 0.490931373, 0.825, 0, 0.003186275, 0.026715686, 0.232598039, 0.818382353
Column_428, 5.374589662210383e-13, 0.777777777777776, 0.2875, 0.377696078, 0.42622549, 0.496813725, 0.593872549, 0, 0, 0.006862745, 0.185539216, 0.875735294
Column_588, 5.374589662210383e-13, 0.7638888888888872, 0.317892157, 0.425735294, 0.467401961, 0.529901961, 0.623529412, 0, 0, 0.005882353, 0.282352941, 0.789460784
Column_460, 5.374589662210383e-13, 0.7499999999999983, 0.302941176, 0.387990196, 0.418627451, 0.461519608, 0.623284314, 0, 0, 0.008823529, 0.38504902, 0.95
Column_621, 5.374589662210383e-13, 0.7430555555555537, 0.295588235, 0.407352941, 0.465196078, 0.498529412, 0.638235294, 0, 0.000490196, 0.036029412, 0.339460784, 0.721813725
Column_556, 5.374589662210383e-13, 0.7361111111111095, 0.322303922, 0.411764706, 0.452696078, 0.495343137, 0.624754902, 0, 0, 0.011029412, 0.416911765, 0.792892157
Column_462, 5.374589662210383e-13, 0.7361111111111095, 0.358333333, 0.433333333, 0.506372549, 0.575735294, 0.869117647, 0, 0.005392157, 0.062254902, 0.403186275, 0.863235294
Column_494, 5.374589662210383e-13, 0.7291666666666651, 0.312745098, 0.441176471, 0.48627451, 0.572058824, 0.679901961, 0, 0.004656863, 0.042892157, 0.357107843, 0.870343137
Column_526, 5.374589662210383e-13, 0.7291666666666651, 0.36372549, 0.447303922, 0.482352941, 0.5375, 0.740441176, 0, 0.007598039, 0.060539216, 0.395588235, 0.860294118
Column_558, 5.374589662210383e-13, 0.7222222222222207, 0.353921569, 0.447303922, 0.502941176, 0.568627451, 0.717892157, 0, 0.004166667, 0.0875, 0.390196078, 0.840931373
Column_396, 5.374589662210383e-13, 0.7013888888888874, 0.214215686, 0.359558824, 0.433823529, 0.484313725, 0.609803922, 0, 0.000490196, 0.015931373, 0.380882353, 0.75245098
Column_620, 5.374589662210383e-13, 0.7013888888888874, 0.255392157, 0.430882353, 0.466176471, 0.542647059, 0.621323529, 0, 0, 0.015441176, 0.408823529, 0.805147059
Column_430, 5.374589662210383e-13, 0.6874999999999986, 0.357352941, 0.412745098, 0.483578431, 0.53872549, 0.718627451, 0, 0.008823529, 0.193382353, 0.429656863, 0.860539216
Column_590, 5.374589662210383e-13, 0.6874999999999986, 0.345833333, 0.430882353, 0.486519608, 0.563235294, 0.753921569, 0, 0.004166667, 0.128431373, 0.405147059, 0.848529412
Column_524, 5.374589662210383e-13, 0.6805555555555541, 0.347794118, 0.424019608, 0.461764706, 0.501960784, 0.565196078, 0, 0, 0.009313725, 0.484068627, 0.780637255
Column_397, 5.374589662210383e-13, 0.6805555555555541, 0.28627451, 0.35245098, 0.408578431, 0.474509804, 0.676715686, 0, 0.004656863, 0.051470588, 0.34877451, 0.83504902
Column_684, 5.374589662210383e-13, 0.6736111111111096, 0.192156863, 0.383578431, 0.464705882, 0.539460784, 0.616666667, 0, 0.001470588, 0.063235294, 0.345833333, 0.703921569
Column_622, 5.374589662210383e-13, 0.6736111111111096, 0.331127451, 0.422794118, 0.471078431, 0.521813725, 0.733823529, 0, 0.0125, 0.183578431, 0.422794118, 0.893382353
