Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_1461, 5.374589662210383e-13, 0.7727272727272745, 0, 0, 0, 0, 0, 0, 1, 3, 5, 26
Column_702, 5.374589662210383e-13, 0.7196969696969715, 0, 0, 0, 0, 0, 0, 0, 1, 4, 78
Column_2586, 3.980415996807096e-11, 0.5558213716108471, 0, 0, 0, 0, 2, 0, 0, 3, 6, 69
Column_945, 1.0531631122745466e-10, 0.5442583732057429, 0, 0, 0, 1, 16, 0, 1, 4, 8, 149
Column_247, 1.0177842124647896e-8, 0.4884370015948956, 0, 0, 1, 2, 11, 0, 0, 0, 0, 2
Column_1358, 7.854039030252835e-8, 0.4625199362041485, 0, 0, 0, 0, 1, 0, 0, 1, 2, 68
Column_506, 0.0000026876245550200295, 0.4118819776714532, 0, 0, 0, 0, 2, 0, 0, 0, 1, 47
Column_450, 0.00008013059478606532, 0.3560606060606081, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
Column_1787, 0.0013562214118040261, 0.30223285486443296, 0, 0, 0, 1, 5, 0, 0, 0, 0, 11
Column_1572, 0.0018351063913618626, 0.2954545454545475, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
Column_900, 0.002853945596376972, 0.28628389154705103, 0, 0, 0, 0, 3, 0, 0, 0, 2, 99
Column_990, 0.006177430634444092, 0.2691387559808609, 0, 1, 2, 3, 7, 0, 0, 1, 2, 12
Column_2627, 0.013573266327194133, 0.2503987240829365, 0, 0, 0, 0, 1, 0, 0, 0, 1, 30
Column_2789, 0.018524638650024072, 0.24242424242424454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
Column_3000, 0.02221796261652509, 0.2376395534290291, 0, 0, 0, 0, 3, 0, 0, 0, 1, 18
Column_863, 0.02221796261652509, 0.2376395534290291, 0, 0, 0, 0, 1, 0, 0, 0, 1, 10
Column_2033, 0.029841473010029373, 0.2284688995215326, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
Column_1393, 0.03751331214705478, 0.22288676236044835, 0, 0, 0, 0, 2, 0, 0, 0, 1, 4
Column_2648, 0.03968187953811442, 0.2204944178628373, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
Column_3195, 0.05512930985938025, 0.21212121212121426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
Column_2590, 0.05512930985938025, 0.21212121212121426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Column_480, 0.05512930985938025, 0.21212121212121426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
Column_1546, 0.06462935448244667, 0.20733652312599882, 0, 0, 0, 0, 1, 0, 0, 0, 0, 31
Column_2212, 0.06809222184476627, 0.2049441786283911, 0, 0, 0, 0, 2, 0, 0, 0, 1, 4
Column_794, 0.06809222184476627, 0.2049441786283911, 0, 0, 0, 0, 4, 0, 0, 0, 1, 17
Column_3117, 0.06809222184476627, 0.2045454545454567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2528, 0.06809222184476627, 0.2045454545454567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_1456, 0.0754936590672104, 0.20215311004784897, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8
Column_1383, 0.08786641394169104, 0.19696969696969913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_3125, 0.08786641394169104, 0.19696969696969913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_3238, 0.08786641394169104, 0.19696969696969913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_478, 0.10189777916606357, 0.19298245614034915, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0
Column_2936, 0.10697010207551338, 0.19059011164274475, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
Column_2312, 0.11774229287977167, 0.18819776714513703, 0, 0, 0, 0, 3, 0, 0, 0, 1, 7
Column_915, 0.12345380942976569, 0.18700159489633383, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7
Column_1187, 0.1293900421856189, 0.1846092503987261, 0, 0, 0, 0, 2, 0, 0, 0, 0, 38
Column_385, 0.14195986887800083, 0.181818181818184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
Column_1839, 0.14860498179427883, 0.17942583732057626, 0, 0, 0, 0, 2, 0, 0, 0, 0, 59
Column_2714, 0.14860498179427883, 0.17942583732057626, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_1127, 0.14860498179427883, 0.17942583732057626, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5
Column_402, 0.1626439803391253, 0.17703349282296854, 0, 0, 0, 0, 2, 0, 0, 0, 0, 24
Column_462, 0.17004897432066512, 0.17543859649122628, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_1208, 0.17771819260640098, 0.17424242424242642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
Column_2393, 0.18565689176157318, 0.1718500797448187, 0, 0, 0, 0, 3, 0, 0, 0, 0, 11
Column_2756, 0.20236294246327224, 0.16945773524721097, 0, 0, 0, 0, 2, 0, 0, 0, 0, 24
Column_2685, 0.2111399156490973, 0.16666666666666885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
Column_2362, 0.2594341690935974, 0.15909090909091128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
Column_2629, 0.2594341690935974, 0.15909090909091128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_1631, 0.2594341690935974, 0.15909090909091128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64
Column_630, 0.2699996716773546, 0.15789473684210675, 0, 0, 0, 1, 5, 0, 0, 0, 2, 7
Column_532, 0.2699996716773546, 0.15789473684210342, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0
Column_153, 0.28087383922554887, 0.15669856459330356, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3
Column_2595, 0.2920585111698587, 0.15430622009569583, 0, 0, 0, 0, 3, 0, 0, 0, 0, 17
Column_1382, 0.3035549830222197, 0.15271132376395358, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1
Column_2694, 0.31536395612605395, 0.1515151515151537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62
