Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_2059, 5.374589662210383e-13, 0.8415214866434386, 0, 1, 2, 6, 35, 0, 0, 0, 0, 1
Column_3358, 5.374589662210383e-13, 0.5428571428571431, 0, 0, 1, 1, 23, 0, 0, 0, 0, 0
Column_2594, 2.560174294785611e-13, 0.4891405342624858, 0, 0, 0, 2, 25, 0, 0, 0, 0, 1
Column_2075, 2.2438947366865136e-9, 0.4000000000000006, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0
Column_1713, 6.188007106722182e-9, 0.3904761904761911, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0
Column_541, 6.188007106722182e-9, 0.3904761904761911, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0
Column_1592, 2.475501079679532e-7, 0.3523809523809531, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0
Column_3295, 3.8746015496027297e-7, 0.3462833914053435, 0, 0, 0, 1, 5, 0, 0, 0, 0, 2
Column_974, 0.0000012851272473968223, 0.33333333333333415, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0
Column_2556, 0.0000012851272473968223, 0.33333333333333415, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0
Column_4317, 0.0000012851272473968223, 0.33333333333333415, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0
Column_2231, 0.0000012851272473968223, 0.33252032520325236, 0, 0, 0, 1, 14, 0, 0, 0, 0, 28
Column_2092, 0.000004980138682664226, 0.3163182346109158, 0, 0, 0, 0, 3, 0, 0, 0, 1, 108
Column_1263, 0.000007453306344218369, 0.3114401858304302, 0, 2, 2, 3, 7, 0, 0, 1, 2, 7
Column_2188, 0.00001348337895668017, 0.30487804878048597, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
Column_2562, 0.000726659306559907, 0.24761904761904874, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_4294, 0.002129532470765305, 0.23077816492450676, 0, 1, 1, 2, 5, 0, 0, 1, 1, 5
Column_2765, 0.002654091621098642, 0.2267711962833897, 0, 0, 0, 0, 1, 0, 0, 0, 1, 23
Column_2155, 0.00407839060510129, 0.21991869918699025, 0, 0, 0, 0, 2, 0, 0, 0, 2, 5
Column_2162, 0.00407839060510129, 0.21904761904762027, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0
Column_3131, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0
Column_4289, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_3609, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_3497, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
Column_2302, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
Column_2112, 0.007071710690401245, 0.20952380952381078, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
Column_1100, 0.008082509399337856, 0.2065621370499401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15
Column_2462, 0.017421442909155482, 0.19169570267131053, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_2324, 0.018524638650024072, 0.19094076655052084, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_503, 0.0209199095402387, 0.1882694541231108, 0, 0, 0, 0, 2, 0, 0, 0, 0, 20
Column_286, 0.0209199095402387, 0.18780487804878188, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1
Column_3779, 0.02221796261652509, 0.18664343786295123, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2
Column_986, 0.023587120444669263, 0.18559814169570077, 0, 0, 0, 0, 1, 0, 0, 0, 0, 24
Column_3394, 0.02655186844090507, 0.18333333333333168, 0, 0, 0, 0, 4, 0, 0, 0, 1, 9
Column_1473, 0.029841473010029373, 0.1809523809523823, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0
Column_2971, 0.03161711249804333, 0.17973286875725958, 0, 0, 0, 1, 7, 0, 0, 0, 0, 8
Column_411, 0.03161711249804333, 0.179500580720091, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11
Column_1652, 0.03544906548412807, 0.17711962833914174, 0, 0, 0, 0, 6, 0, 0, 0, 0, 10
Column_3691, 0.03544906548412807, 0.17682926829268097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
Column_2648, 0.03968187953811442, 0.1745644599303119, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3
Column_218, 0.03968187953811442, 0.1745644599303119, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5
Column_998, 0.03968187953811442, 0.1738095238095222, 0, 0, 0, 0, 5, 0, 0, 0, 1, 17
Column_3231, 0.04195901150969816, 0.17328687572590107, 0, 0, 0, 1, 8, 0, 0, 0, 0, 5
Column_673, 0.04685649343449061, 0.1707317073170712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
Column_1108, 0.052241888564704686, 0.16771196283391243, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5
Column_3166, 0.05512930985938025, 0.1671893147502913, 0, 0, 0, 1, 8, 0, 0, 0, 0, 13
Column_1139, 0.05512930985938025, 0.16684088269454256, 0, 0, 0, 0, 14, 0, 0, 0, 0, 13
Column_2093, 0.05512930985938025, 0.1665505226480818, 0, 0, 0, 0, 3, 0, 0, 0, 0, 8
Column_257, 0.05815302364097896, 0.1654471544715449, 0, 1, 1, 2, 5, 0, 0, 1, 1, 4
Column_674, 0.05815302364097896, 0.16544715447154335, 0, 0, 0, 0, 7, 0, 0, 0, 1, 28
Column_2330, 0.06131801227961475, 0.16463414634146145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_412, 0.06131801227961475, 0.16463414634146145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
Column_612, 0.06131801227961475, 0.16463414634146145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_1982, 0.06809222184476627, 0.16190476190476333, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Column_2166, 0.07171187496044906, 0.16085946573751297, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
Column_661, 0.0754936590672104, 0.15969802555168233, 0, 0, 0, 0, 4, 0, 0, 0, 0, 8
Column_1519, 0.07944299920064735, 0.157781649245062, 0, 0, 0, 0, 2, 0, 0, 0, 0, 14
Column_3354, 0.09235168655233272, 0.15389082462253334, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3
Column_287, 0.09702689759522087, 0.15313588850174364, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
Column_2069, 0.10189777916606357, 0.151974448315913, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2
Column_4154, 0.12345380942976569, 0.14663182346109294, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6
Column_243, 0.1293900421856189, 0.14558652729384247, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2
Column_332, 0.15549781841748678, 0.1402439024390224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_707, 0.15549781841748678, 0.1402439024390224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_545, 0.15549781841748678, 0.1402439024390224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
Column_1598, 0.15549781841748678, 0.1402439024390224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_1480, 0.15549781841748678, 0.1402439024390224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
Column_3825, 0.19387016993785067, 0.13414634146341264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_360, 0.19387016993785067, 0.13408826945412466, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2
Column_1750, 0.22020555870195024, 0.13112659698025386, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7
Column_745, 0.2295640736263188, 0.12938443670151012, 0, 0, 1, 2, 6, 0, 0, 2, 2, 5
Column_3938, 0.23921936300013413, 0.12804878048780288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
Column_1301, 0.23921936300013413, 0.12804878048780288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_682, 0.2491749955050626, 0.1272938443670132, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2
Column_2391, 0.2491749955050626, 0.1272357723577252, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1
Column_263, 0.2699996716773546, 0.12380952380952537, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_1499, 0.2699996716773546, 0.12380952380952537, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_1038, 0.28087383922554887, 0.12340301974448453, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1
Column_3006, 0.2920585111698587, 0.12195121951219312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2368, 0.2920585111698587, 0.12195121951219312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2755, 0.3035549830222197, 0.1207317073170745, 0, 0, 0, 0, 6, 0, 0, 0, 0, 5
Column_2430, 0.3399189185925662, 0.11666666666666525, 0, 0, 0, 0, 5, 0, 0, 0, 1, 15
Column_74, 0.3399189185925662, 0.1162601626016243, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1
Column_2540, 0.3526628463667678, 0.11585365853658336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_2247, 0.3526628463667678, 0.11585365853658336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_3347, 0.3526628463667678, 0.11585365853658336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_3028, 0.3526628463667678, 0.11504065040650568, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2
Column_350, 0.3526628463667678, 0.11504065040650568, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1
Column_3132, 0.36571503102351555, 0.11428571428571588, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0
Column_3155, 0.36571503102351555, 0.11428571428571588, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0
Column_2972, 0.36571503102351555, 0.11428571428571588, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
Column_397, 0.36571503102351555, 0.11428571428571588, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0
Column_3681, 0.36571503102351555, 0.11387921022067504, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2
Column_987, 0.39273070794065434, 0.11242740998838363, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3
Column_2267, 0.39273070794065434, 0.11236933797909565, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2
Column_2193, 0.40668500491804727, 0.11091753774680424, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
Column_142, 0.40668500491804727, 0.11091753774680424, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
Column_1683, 0.40668500491804727, 0.11056910569105549, 0, 0, 0, 1, 4, 0, 0, 0, 1, 14
Column_327, 0.4209290251842247, 0.1097560975609736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Column_4111, 0.4209290251842247, 0.1097560975609736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_4109, 0.4209290251842247, 0.1097560975609736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Column_2850, 0.4209290251842247, 0.1097560975609736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Column_627, 0.4209290251842247, 0.1097560975609736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
