Column Name, P-value, KS Score, Group 1Min, Group 1Q1, Group 1Median, Group 1Q3, Group 1Max, Group 2Min, Group 2Q1, Group 2Median, Group 2Q3, Group 2Max
Column_1478, 5.374589662210383e-13, 1.0000000000000007, 10928.44, 17374.15, 19142.95, 21798.58, 30289.88, 83.14, 178.68, 404.39, 967.48, 7290.11
Column_1477, 5.374589662210383e-13, 1.0000000000000007, 8445.86, 17083.14, 19120.17, 20163.27, 25457.64, 83.81, 211.12, 481.24, 1175.23, 7724.67
Column_2954, 4.596323321948148e-13, 0.8909883720930233, 314.67, 454.82, 503.05, 577.42, 671.1, 515.62, 686.85, 833.43, 951.24, 1292.01
Column_4429, 6.903366767119223e-13, 0.8837209302325586, 3737.79, 4191.93, 4400.93, 4765.4, 5473.46, 2295.15, 2853.61, 3121.38, 3436.15, 5328.73
Column_1365, 1.064259791405675e-12, 0.8757267441860466, 426.35, 482.02, 517.51, 563.18, 824.46, 369.61, 718.18, 876, 1048.91, 2067.96
Column_4030, 2.9848346017047334e-12, 0.8604651162790702, 2182.01, 2513.63, 2789.68, 2957.54, 3389.23, 1307.87, 1673.82, 1825.05, 2005.92, 2994.22
Column_1035, 2.9848346017047334e-12, 0.8604651162790702, 2449.05, 2628.82, 2900.31, 3194.45, 3750.65, 1322.33, 1674.3, 1884.43, 2213.63, 3905.49
Column_987, 8.293921105462232e-12, 0.844476744186047, 9437.86, 11321.73, 11699.91, 12448.97, 13803.45, 6252.18, 8678.77, 9629.75, 10161.34, 13914.56
Column_5299, 8.293921105462232e-12, 0.8444767441860466, 192.2, 233.11, 242.54, 263.97, 367.36, 222.91, 338.93, 362.03, 407.4, 455.04
Column_741, 8.293921105462232e-12, 0.8444767441860466, 236.97, 301.48, 320.09, 340.8, 446.8, 302.91, 393.04, 424.72, 455.37, 565.74
Column_919, 1.278210870481189e-11, 0.8372093023255813, 495.03, 836.66, 945.84, 1040.61, 1155.13, 975.8, 1200.56, 1396.16, 1583.93, 1878.47
Column_4358, 1.278210870481189e-11, 0.8372093023255813, 550.63, 610.67, 676.74, 722.53, 847.79, 468.92, 934.73, 1054.53, 1110.19, 1470.33
Column_908, 1.278210870481189e-11, 0.8364825581395349, 530.76, 852.98, 982.68, 1034.92, 1666.01, 866.51, 1273.32, 1356.18, 1542.27, 1858.69
Column_1364, 1.278210870481189e-11, 0.8364825581395349, 182.34, 228.36, 250.16, 285.29, 373.87, 204.44, 343.84, 379.46, 447.87, 672.08
Column_663, 1.9628632053070305e-11, 0.8292151162790702, 339.05, 417.98, 484.43, 511.42, 615.32, 140.47, 255.36, 282.83, 330.28, 560.5
Column_4122, 1.9628632053070305e-11, 0.8292151162790697, 316.99, 358.98, 388.25, 431.63, 558.25, 410.47, 562.16, 621.19, 701.33, 993.19
Column_1083, 1.9628632053070305e-11, 0.8292151162790697, 699.35, 811.08, 839.05, 903.82, 1015.24, 741.2, 1016.21, 1104.17, 1160.52, 1396.93
